,N2EX,EUA(Ascending)
42587,46.68,4.72
42588,42.67,4.793333333
42589,35.88,4.866666667
42590,35.87,4.94
42591,42.89,4.87
42592,43.51,4.76
42593,40.64,4.87
42594,41.01,4.89
42595,39.79,4.86
42596,39.39,4.83
42597,42.72,4.8
42598,38.82,4.69
42599,41.73,4.48
42600,43.2,4.68
42601,40.04,4.76
42602,36.64,4.803333333
42603,37.63,4.846666667
42604,40.25,4.89
42605,39.83,4.7
42606,47.63,4.6
42607,46.46,4.7
42608,39.28,4.69
42609,40,4.69
42610,37.83,4.69
42611,41.32,4.69
42612,40.19,4.54
42613,38.91,4.46
42614,39.33,4.37
42615,36.48,4.08
42616,33.14,4.03
42617,36.96,3.98
42618,44.38,3.93
42619,46.48,4.13
42620,47.83,4.01
42621,37.56,4.08
42622,35.34,4.08
42623,38.14,4.063333333
42624,34.54,4.046666667
42625,48.63,4.03
42626,68.91,4.02
42627,61.17,3.98
42628,145.38,4.14
42629,40.49,4.36
42630,38.9,4.373333333
42631,42.07,4.386666667
42632,199.17,4.4
42633,78.31,4.16
42634,44.1,4.21
42635,44.31,4.42
42636,44.11,4.54
42637,43.58,4.566666667
42638,42.67,4.593333333
42639,50.61,4.62
42640,44.28,4.43
42641,44.48,4.95
42642,41.87,5.02
42643,53.07,4.96
42644,54.26,5.076666667
42645,48.74,5.193333333
42646,54.46,5.31
42647,48.6,5.21
42648,42,5.48
42649,47.68,5.86
42650,52.83,5.69
42651,51.91,5.68
42652,44.03,5.67
42653,60.69,5.66
42654,51.11,5.43
42655,55.2,5.52
42656,55.15,5.65
42657,56.96,5.81
42658,48.27,5.83
42659,47.56,5.85
42660,51.46,5.87
42661,47.61,5.95
42662,53.84,5.67
42663,60.99,5.58
42664,71.67,5.89
42665,55.18,5.863333333
42666,47.7,5.836666667
42667,88.78,5.81
42668,82.01,5.81
42669,58.4,5.94
42670,53.82,5.81
42671,56.47,5.88
42672,53.26,5.886666667
42673,47.99,5.893333333
42674,63.58,5.9
42675,59.46,6.03
42676,82.35,6.24
42677,65.31,6.5
42678,67.27,6.41
42679,54.79,6.35
42680,48.43,6.29
42681,115.44,6.23
42682,111.43,6.15
42683,109.76,6.13
42684,68.68,5.92
42685,60.5,5.67
42686,60.29,5.583333333
42687,56.62,5.496666667
42688,98.89,5.41
42689,70.78,5.74
42690,54.2,5.55
42691,55.91,5.9
42692,60.18,5.58
42693,59.6,5.546666667
42694,53.97,5.513333333
42695,60.38,5.48
42696,59.66,5.51
42697,70.82,5.39
42698,58.21,5.34
42699,56.81,5
42700,62.61,4.913333333
42701,55.77,4.826666667
42702,71.9,4.74
42703,81.15,4.56
42704,63.96,4.58
42705,69.45,4.46
42706,74.38,4.3
42707,58.69,4.323333333
42708,53.66,4.346666667
42709,79.54,4.37
42710,60.71,4.5
42711,52.94,4.3
42712,53.68,4.61
42713,51.27,4.46
42714,52.93,4.596666667
42715,54.01,4.733333333
42716,59.05,4.87
42717,57.17,4.79
42718,56.63,5.01
42719,54.34,4.84
42720,57.5,4.93
42721,54.11,4.983333333
42722,54.65,5.036666667
42723,61.44,5.09
42724,54.48,5.23
42725,53.81,5.8
42726,56.08,6.07
42727,54.26,6.22
42728,54.15,6.245
42729,46.18,6.27
42730,45.32,6.295
42731,59.04,6.32
42732,64.14,6.32
42733,58.27,6.34
42734,58.39,6.54
42735,57.42,6.396666667
42736,57.98,6.253333333
42737,59.08,6.11
42738,61.44,5.41
42739,62.18,5.7
42740,61.67,5.27
42741,58.23,5.03
42742,57.99,5.103333333
42743,57.29,5.176666667
42744,55.79,5.25
42745,58.29,5.49
42746,58.17,5.51
42747,60.1,5.03
42748,62.03,5.03
42749,60.38,4.916666667
42750,60,4.803333333
42751,68.32,4.69
42752,75.08,4.99
42753,69.27,4.83
42754,65.38,5.19
42755,60.53,5.42
42756,59.16,5.383333333
42757,60.89,5.346666667
42758,65.54,5.31
42759,65.42,5.07
42760,61.39,4.97
42761,60.97,5.19
42762,61.32,4.91
42763,58.82,4.99
42764,58.26,5.07
42765,59.82,5.15
42766,61.77,5.35
42767,60.27,5.26
42768,61.16,5.22
42769,60.73,5.15
42770,64.49,5.13
42771,66.76,5.11
42772,64.05,5.09
42773,64.29,5.16
42774,63.53,5.21
42775,60.33,5.27
42776,62.79,5.11
42777,57.44,5.036666667
42778,55.03,4.963333333
42779,57.07,4.89
42780,60.2,5.12
42781,57.3,5.05
42782,55.45,4.93
42783,58.04,4.97
42784,52.91,5.006666667
42785,51.34,5.043333333
42786,51.64,5.08
42787,54.06,5.04
42788,51.35,5.06
42789,51.68,5.34
42790,55.64,5.38
42791,53.98,5.316666667
42792,55.91,5.253333333
42793,55.33,5.19
42794,51.26,5.23
42795,56.31,5.9
42796,51.71,5.46
42797,52.17,5.59
42798,48.14,5.553333333
42799,48.63,5.516666667
42800,53.05,5.48
42801,50.57,5.37
42802,50.71,5.23
42803,52.15,5.12
42804,48.78,5.16
42805,49.71,5.156666667
42806,48.53,5.153333333
42807,47.44,5.15
42808,44.47,5.1
42809,48.05,5.19
42810,46.52,5.14
42811,46.81,5.13
42812,46.3,5.083333333
42813,42.31,5.036666667
42814,47.21,4.99
42815,48.38,4.93
42816,46.6,4.96
42817,47.82,4.97
42818,47,4.76
42819,47.58,4.713333333
42820,46.72,4.666666667
42821,50.68,4.62
42822,48.82,4.73
42823,45.68,4.75
42824,46.03,4.91
42825,46.42,4.68
42826,48.53,4.74
42827,46.97,4.8
42828,45.51,4.86
42829,49.09,4.64
42830,50.99,4.81
42831,55.44,5.05
42832,50.85,4.88
42833,48.47,4.846666667
42834,45.08,4.813333333
42835,48.03,4.78
42836,45.97,4.86
42837,46.76,4.92
42838,46.58,4.94
42839,46.78,4.94
42840,46.62,4.94
42841,50.03,4.94
42842,45.77,4.94
42843,47.16,4.85
42844,46.59,4.82
42845,50.36,4.74
42846,48.07,4.56
42847,47.13,4.65
42848,46.6,4.74
42849,48.68,4.83
42850,46.92,4.49
42851,51.38,4.6
42852,49.82,5.54
42853,56.2,4.56
42854,47.75,4.56
42855,47.82,4.56
42856,48.73,4.56
42857,52.35,4.44
42858,50.06,4.39
42859,48.55,4.51
42860,48.21,4.57
42861,49.38,4.52
42862,47.18,4.47
42863,48.51,4.42
42864,53.98,4.51
42865,52.73,4.45
42866,49.93,4.34
42867,48.27,4.45
42868,43.6,4.426666667
42869,45.97,4.403333333
42870,48,4.38
42871,47.94,4.455
42872,59.95,4.53
42873,53.5,4.76
42874,51.17,4.85
42875,45.6,4.866666667
42876,46.96,4.883333333
42877,45.92,4.9
42878,46.45,4.75
42879,45.24,4.91
42880,45.85,4.98
42881,43.57,5.19
42882,44.78,5.183333333
42883,44.67,5.176666667
42884,44.66,5.17
42885,45.6,5.14
42886,46.79,4.98
42887,44.02,5.08
42888,44.55,5.16
42889,43.49,5.163333333
42890,40.17,5.166666667
42891,43.35,5.17
42892,43.49,4.97
